direction,coverage,year,passengers,country_code,airport_code
Arrivals,International,2021,4668891,BE,EBBR
Arrivals,International,2022,9479687,BE,EBBR
Arrivals,National,2017,2289,BE,EBBR
Arrivals,National,2018,2335,BE,EBBR
Arrivals,National,2019,1030,BE,EBBR
Arrivals,National,2020,109,BE,EBBR
Arrivals,National,2021,416,BE,EBBR
Arrivals,National,2022,1075,BE,EBBR
Arrivals,International,2017,3844870,BE,EBCI
Arrivals,International,2018,4013831,BE,EBCI
Arrivals,International,2019,4095329,BE,EBCI
Arrivals,International,2020,1284351,BE,EBCI
Arrivals,International,2021,1873658,BE,EBCI
Arrivals,International,2022,4155547,BE,EBCI
Arrivals,National,2017,336,BE,EBCI
Arrivals,National,2018,2,BE,EBCI
Arrivals,National,2019,605,BE,EBCI
Arrivals,National,2020,0,BE,EBCI
Arrivals,National,2021,1,BE,EBCI
Arrivals,National,2022,0,BE,EBCI
Arrivals,International,2017,92345,BE,EBLG
Arrivals,International,2018,81091,BE,EBLG
Arrivals,International,2019,70011,BE,EBLG
Arrivals,International,2020,21597,BE,EBLG
Arrivals,International,2021,35449,BE,EBLG
Arrivals,International,2022,78843,BE,EBLG
Arrivals,National,2017,0,BE,EBLG
Arrivals,National,2018,16,BE,EBLG
Arrivals,National,2019,0,BE,EBLG
Arrivals,National,2020,43,BE,EBLG
Arrivals,National,2021,0,BE,EBLG
Arrivals,National,2022,0,BE,EBLG
Arrivals,International,2017,174471,BE,EBOS
Arrivals,International,2018,198929,BE,EBOS
Arrivals,International,2019,217965,BE,EBOS
Arrivals,International,2020,51489,BE,EBOS
Arrivals,International,2021,102195,BE,EBOS
Arrivals,International,2022,176552,BE,EBOS
Arrivals,National,2017,846,BE,EBOS
Arrivals,National,2018,898,BE,EBOS
Arrivals,National,2019,946,BE,EBOS
Arrivals,National,2020,586,BE,EBOS
Arrivals,National,2021,902,BE,EBOS
Arrivals,National,2022,1503,BE,EBOS
Arrivals,International,2017,1466003,BG,LBBG
Arrivals,International,2018,1618784,BG,LBBG
Arrivals,International,2019,1417737,BG,LBBG
Arrivals,International,2020,203176,BG,LBBG
Arrivals,International,2021,468147,BG,LBBG
Arrivals,International,2022,806193,BG,LBBG
Arrivals,National,2017,20866,BG,LBBG
Arrivals,National,2018,15137,BG,LBBG
Arrivals,National,2019,19428,BG,LBBG
Arrivals,National,2020,6399,BG,LBBG
Arrivals,National,2021,13489,BG,LBBG
Arrivals,National,2022,15181,BG,LBBG
Arrivals,International,2017,3067208,BG,LBSF
Arrivals,International,2018,3289210,BG,LBSF
Arrivals,International,2019,3381010,BG,LBSF
Arrivals,International,2020,1344843,BG,LBSF
Arrivals,International,2021,1523743,BG,LBSF
Arrivals,International,2022,2830634,BG,LBSF
Arrivals,National,2017,134761,BG,LBSF
Arrivals,National,2018,153001,BG,LBSF
Arrivals,National,2019,141679,BG,LBSF
Arrivals,National,2020,64435,BG,LBSF
Arrivals,National,2021,98586,BG,LBSF
Arrivals,National,2022,115574,BG,LBSF
Arrivals,International,2017,852528,BG,LBWN
Arrivals,International,2018,990293,BG,LBWN
Arrivals,International,2019,902416,BG,LBWN
Arrivals,International,2020,244160,BG,LBWN
Arrivals,International,2021,451267,BG,LBWN
Arrivals,International,2022,627628,BG,LBWN
Arrivals,National,2017,139230,BG,LBWN
Arrivals,National,2018,156192,BG,LBWN
Arrivals,National,2019,141136,BG,LBWN
Arrivals,National,2020,66278,BG,LBWN
Arrivals,National,2021,105372,BG,LBWN
Arrivals,National,2022,114873,BG,LBWN
Arrivals,International,2017,3617606,CH,LFSB
Arrivals,International,2018,3916411,CH,LFSB
Arrivals,International,2019,4180254,CH,LFSB
Arrivals,International,2020,1159627,CH,LFSB
Arrivals,International,2021,1525978,CH,LFSB
Arrivals,International,2022,3102600,CH,LFSB
Arrivals,National,2017,3317,CH,LFSB
Arrivals,National,2018,2222,CH,LFSB
Arrivals,National,2019,45,CH,LFSB
Arrivals,National,2020,2,CH,LFSB
Arrivals,National,2021,202,CH,LFSB
Arrivals,National,2022,361,CH,LFSB
Arrivals,International,2017,8311960,CH,LSGG
Arrivals,International,2018,8471329,CH,LSGG
Arrivals,International,2019,8602090,CH,LSGG
Arrivals,International,2020,2676449,CH,LSGG
Arrivals,International,2021,2878183,CH,LSGG
Arrivals,International,2022,6869781,CH,LSGG
Arrivals,National,2017,313318,CH,LSGG
Arrivals,National,2018,311866,CH,LSGG
Arrivals,National,2019,320191,CH,LSGG
Arrivals,National,2020,85550,CH,LSGG
Arrivals,National,2021,91509,CH,LSGG
Arrivals,National,2022,167042,CH,LSGG
Arrivals,International,2017,4272,CH,LSGS
Arrivals,International,2018,4232,CH,LSGS
Arrivals,International,2019,1025,CH,LSGS
Arrivals,International,2020,887,CH,LSGS
Arrivals,International,2021,5906,CH,LSGS
Arrivals,International,2022,2056,CH,LSGS
Arrivals,National,2017,363,CH,LSGS
Arrivals,National,2018,167,CH,LSGS
Arrivals,National,2019,181,CH,LSGS
Arrivals,National,2020,0,CH,LSGS
Arrivals,National,2021,3709,CH,LSGS
Arrivals,National,2022,17,CH,LSGS
Arrivals,International,2017,2637,CH,LSZA
Arrivals,International,2018,494,CH,LSZA
Arrivals,International,2019,495,CH,LSZA
Arrivals,International,2020,125,CH,LSZA
Arrivals,International,2021,3156,CH,LSZA
Arrivals,International,2022,290,CH,LSZA
Arrivals,National,2017,64592,CH,LSZA
Arrivals,National,2018,43018,CH,LSZA
Arrivals,National,2019,27370,CH,LSZA
Arrivals,National,2020,0,CH,LSZA
Arrivals,National,2021,760,CH,LSZA
Arrivals,National,2022,0,CH,LSZA
Arrivals,International,2017,83612,CH,LSZB
Arrivals,International,2018,68850,CH,LSZB
Arrivals,International,2019,11119,CH,LSZB
Arrivals,International,2020,2811,CH,LSZB
Arrivals,International,2021,8890,CH,LSZB
Arrivals,International,2022,17503,CH,LSZB
Arrivals,National,2017,290,CH,LSZB
Arrivals,National,2018,12,CH,LSZB
Arrivals,National,2019,60,CH,LSZB
Arrivals,National,2020,0,CH,LSZB
Arrivals,National,2021,1336,CH,LSZB
Arrivals,National,2022,0,CH,LSZB
Arrivals,International,2017,14360891,CH,LSZH
Arrivals,International,2018,15186328,CH,LSZH
Arrivals,International,2019,15435605,CH,LSZH
Arrivals,International,2020,4144397,CH,LSZH
Arrivals,International,2021,5035019,CH,LSZH
Arrivals,International,2022,11142574,CH,LSZH
Arrivals,National,2017,346217,CH,LSZH
Arrivals,National,2018,357431,CH,LSZH
Arrivals,National,2019,337045,CH,LSZH
Arrivals,National,2020,85526,CH,LSZH
Arrivals,National,2021,97363,CH,LSZH
Arrivals,National,2022,165756,CH,LSZH
Arrivals,International,2017,54424,CH,LSZR
Arrivals,International,2018,56266,CH,LSZR
Arrivals,International,2019,53164,CH,LSZR
Arrivals,International,2020,11166,CH,LSZR
Arrivals,International,2021,15475,CH,LSZR
Arrivals,International,2022,12489,CH,LSZR
Arrivals,National,2017,0,CH,LSZR
Arrivals,National,2018,0,CH,LSZR
Arrivals,National,2019,9,CH,LSZR
Arrivals,National,2020,0,CH,LSZR
Arrivals,National,2021,368,CH,LSZR
Arrivals,National,2022,0,CH,LSZR
Arrivals,International,2017,3946841,CY,LCLK
Arrivals,International,2018,4121923,CY,LCLK
Arrivals,International,2019,4192099,CY,LCLK
Arrivals,International,2020,852116,CY,LCLK
Arrivals,International,2021,1813182,CY,LCLK
Arrivals,International,2022,3006125,CY,LCLK
Arrivals,National,2017,75,CY,LCLK
Arrivals,National,2018,0,CY,LCLK
Arrivals,National,2019,0,CY,LCLK
Arrivals,National,2020,0,CY,LCLK
Arrivals,National,2021,2913,CY,LCLK
Arrivals,National,2022,4581,CY,LCLK
Arrivals,International,2017,1279184,CY,LCPH
Arrivals,International,2018,1434062,CY,LCPH
Arrivals,International,2019,1520668,CY,LCPH
Arrivals,International,2020,311655,CY,LCPH
Arrivals,International,2021,760075,CY,LCPH
Arrivals,International,2022,1588888,CY,LCPH
Arrivals,National,2017,2,CY,LCPH
Arrivals,National,2018,0,CY,LCPH
Arrivals,National,2019,0,CY,LCPH
Arrivals,National,2020,0,CY,LCPH
Arrivals,National,2021,1,CY,LCPH
Arrivals,National,2022,183,CY,LCPH
Arrivals,International,2017,10652,CZ,LKKV
Arrivals,International,2018,21985,CZ,LKKV
Arrivals,International,2019,30337,CZ,LKKV
Arrivals,International,2020,8463,CZ,LKKV
Arrivals,International,2021,250,CZ,LKKV
Arrivals,International,2022,2659,CZ,LKKV
Arrivals,National,2017,262,CZ,LKKV
Arrivals,National,2018,546,CZ,LKKV
Arrivals,National,2019,67,CZ,LKKV
Arrivals,National,2020,11,CZ,LKKV
Arrivals,National,2021,40,CZ,LKKV
Arrivals,National,2022,3,CZ,LKKV
Arrivals,International,2017,151956,CZ,LKMT
Arrivals,International,2018,189378,CZ,LKMT
Arrivals,International,2019,163432,CZ,LKMT
Arrivals,International,2020,18353,CZ,LKMT
Arrivals,International,2021,69415,CZ,LKMT
Arrivals,International,2022,145685,CZ,LKMT
Arrivals,National,2017,15637,CZ,LKMT
Arrivals,National,2018,15316,CZ,LKMT
Arrivals,National,2019,5195,CZ,LKMT
Arrivals,National,2020,1415,CZ,LKMT
Arrivals,National,2021,2749,CZ,LKMT
Arrivals,National,2022,1765,CZ,LKMT
Arrivals,International,2017,44550,CZ,LKPD
Arrivals,International,2018,72587,CZ,LKPD
Arrivals,International,2019,49960,CZ,LKPD
Arrivals,International,2020,16913,CZ,LKPD
Arrivals,International,2021,39426,CZ,LKPD
Arrivals,International,2022,42455,CZ,LKPD
Arrivals,National,2017,2,CZ,LKPD
Arrivals,National,2018,255,CZ,LKPD
Arrivals,National,2019,174,CZ,LKPD
Arrivals,National,2020,0,CZ,LKPD
Arrivals,National,2021,0,CZ,LKPD
Arrivals,National,2022,357,CZ,LKPD
Arrivals,International,2017,7689142,CZ,LKPR
Arrivals,International,2018,8388705,CZ,LKPR
Arrivals,International,2019,8905382,CZ,LKPR
Arrivals,International,2020,1799439,CZ,LKPR
Arrivals,International,2021,2195320,CZ,LKPR
Arrivals,International,2022,5362014,CZ,LKPR
Arrivals,National,2017,16863,CZ,LKPR
Arrivals,National,2018,14870,CZ,LKPR
Arrivals,National,2019,2864,CZ,LKPR
Arrivals,National,2020,1712,CZ,LKPR
Arrivals,National,2021,1922,CZ,LKPR
Arrivals,National,2022,1276,CZ,LKPR
Arrivals,International,2017,236646,CZ,LKTB
Arrivals,International,2018,253704,CZ,LKTB
Arrivals,International,2019,276461,CZ,LKTB
Arrivals,International,2020,42088,CZ,LKTB
Arrivals,International,2021,93957,CZ,LKTB
Arrivals,International,2022,239313,CZ,LKTB
Arrivals,National,2017,1802,CZ,LKTB
Arrivals,National,2018,3434,CZ,LKTB
Arrivals,National,2019,2252,CZ,LKTB
Arrivals,National,2020,441,CZ,LKTB
Arrivals,National,2021,1530,CZ,LKTB
Arrivals,National,2022,1252,CZ,LKTB
Arrivals,International,2017,6175499,DE,EDDB
Arrivals,International,2018,6200050,DE,EDDB
Arrivals,International,2019,5651698,DE,EDDB
Arrivals,International,2020,1549145,DE,EDDB
Arrivals,International,2021,4256754,DE,EDDB
Arrivals,International,2022,8669511,DE,EDDB
Arrivals,National,2017,274954,DE,EDDB
Arrivals,National,2018,172536,DE,EDDB
Arrivals,National,2019,71025,DE,EDDB
Arrivals,National,2020,55779,DE,EDDB
Arrivals,National,2021,712378,DE,EDDB
Arrivals,National,2022,1293084,DE,EDDB
Arrivals,International,2017,341281,DE,EDDC
Arrivals,International,2018,408334,DE,EDDC
Arrivals,International,2019,329010,DE,EDDC
Arrivals,International,2020,82144,DE,EDDC
Arrivals,International,2021,94353,DE,EDDC
Arrivals,International,2022,244614,DE,EDDC
Arrivals,National,2017,517086,DE,EDDC
Arrivals,National,2018,469463,DE,EDDC
Arrivals,National,2019,469128,DE,EDDC
Arrivals,National,2020,110434,DE,EDDC
Arrivals,National,2021,69161,DE,EDDC
Arrivals,National,2022,168530,DE,EDDC
Arrivals,International,2017,138350,DE,EDDE
Arrivals,International,2018,129815,DE,EDDE
Arrivals,International,2019,74638,DE,EDDE
Arrivals,International,2020,13351,DE,EDDE
Arrivals,International,2021,35148,DE,EDDE
Arrivals,International,2022,67242,DE,EDDE
Arrivals,National,2017,5734,DE,EDDE
Arrivals,National,2018,1297,DE,EDDE
Arrivals,National,2019,2998,DE,EDDE
Arrivals,National,2020,1165,DE,EDDE
Arrivals,National,2021,381,DE,EDDE
Arrivals,National,2022,1442,DE,EDDE
Arrivals,International,2017,28788728,DE,EDDF
Arrivals,International,2018,31121121,DE,EDDF
Arrivals,International,2019,31801436,DE,EDDF
Arrivals,International,2020,8644045,DE,EDDF
Arrivals,International,2021,11371923,DE,EDDF
Arrivals,International,2022,22501600,DE,EDDF
Arrivals,National,2017,3674471,DE,EDDF
Arrivals,National,2018,3855351,DE,EDDF
Arrivals,National,2019,3743242,DE,EDDF
Arrivals,National,2020,956725,DE,EDDF
Arrivals,National,2021,1056078,DE,EDDF
Arrivals,National,2022,2055611,DE,EDDF
Arrivals,International,2017,292508,DE,EDDG
Arrivals,International,2018,325308,DE,EDDG
Arrivals,International,2019,301912,DE,EDDG
Arrivals,International,2020,65083,DE,EDDG
Arrivals,International,2021,141588,DE,EDDG
Arrivals,International,2022,343877,DE,EDDG
Arrivals,National,2017,189575,DE,EDDG
Arrivals,National,2018,188710,DE,EDDG
Arrivals,National,2019,186472,DE,EDDG
Arrivals,National,2020,45025,DE,EDDG
Arrivals,National,2021,35812,DE,EDDG
Arrivals,National,2022,78650,DE,EDDG
Arrivals,International,2017,6207695,DE,EDDH
Arrivals,International,2018,6033268,DE,EDDH
Arrivals,International,2019,6094831,DE,EDDH
Arrivals,International,2020,1565762,DE,EDDH
Arrivals,International,2021,1994244,DE,EDDH
Arrivals,International,2022,4366692,DE,EDDH
Arrivals,National,2017,2635556,DE,EDDH
Arrivals,National,2018,2606125,DE,EDDH
Arrivals,National,2019,2586975,DE,EDDH
Arrivals,National,2020,746693,DE,EDDH
Arrivals,National,2021,647628,DE,EDDH
Arrivals,National,2022,1189953,DE,EDDH
Arrivals,International,2017,4491993,DE,EDDK
Arrivals,International,2018,4868503,DE,EDDK
Arrivals,International,2019,4635790,DE,EDDK
Arrivals,International,2020,1208244,DE,EDDK
Arrivals,International,2021,1934591,DE,EDDK
Arrivals,International,2022,4046566,DE,EDDK
Arrivals,National,2017,1697705,DE,EDDK
Arrivals,National,2018,1609618,DE,EDDK
Arrivals,National,2019,1545939,DE,EDDK
Arrivals,National,2020,348890,DE,EDDK
Arrivals,National,2021,164153,DE,EDDK
Arrivals,National,2022,321610,DE,EDDK
Arrivals,International,2017,10114279,DE,EDDL
Arrivals,International,2018,10046898,DE,EDDL
Arrivals,International,2019,10657330,DE,EDDL
Arrivals,International,2020,2813339,DE,EDDL
Arrivals,International,2021,3609249,DE,EDDL
Arrivals,International,2022,7384361,DE,EDDL
Arrivals,National,2017,2228684,DE,EDDL
Arrivals,National,2018,2089331,DE,EDDL
Arrivals,National,2019,2118100,DE,EDDL
Arrivals,National,2020,534886,DE,EDDL
Arrivals,National,2021,353267,DE,EDDL
Arrivals,National,2022,659852,DE,EDDL
Arrivals,International,2017,17446924,DE,EDDM
Arrivals,International,2018,18357374,DE,EDDM
Arrivals,International,2019,19268386,DE,EDDM
Arrivals,International,2020,4347189,DE,EDDM
Arrivals,International,2021,5086695,DE,EDDM
Arrivals,International,2022,13470250,DE,EDDM
Arrivals,National,2017,4918697,DE,EDDM
Arrivals,National,2018,4848390,DE,EDDM
Arrivals,National,2019,4800428,DE,EDDM
Arrivals,National,2020,1280651,DE,EDDM
Arrivals,National,2021,1159709,DE,EDDM
Arrivals,National,2022,2388603,DE,EDDM
Arrivals,International,2017,1582264,DE,EDDN
Arrivals,International,2018,1829885,DE,EDDN
Arrivals,International,2019,1706870,DE,EDDN
Arrivals,International,2020,402946,DE,EDDN
Arrivals,International,2021,501677,DE,EDDN
Arrivals,International,2022,1551518,DE,EDDN
Arrivals,National,2017,517969,DE,EDDN
Arrivals,National,2018,409663,DE,EDDN
Arrivals,National,2019,349658,DE,EDDN
Arrivals,National,2020,67846,DE,EDDN
Arrivals,National,2021,27879,DE,EDDN
Arrivals,National,2022,73709,DE,EDDN
Arrivals,International,2017,799219,DE,EDDP
Arrivals,International,2018,923010,DE,EDDP
Arrivals,International,2019,966635,DE,EDDP
Arrivals,International,2020,217977,DE,EDDP
Arrivals,International,2021,295214,DE,EDDP
Arrivals,International,2022,668028,DE,EDDP
Arrivals,National,2017,389750,DE,EDDP
Arrivals,National,2018,363255,DE,EDDP
Arrivals,National,2019,345398,DE,EDDP
Arrivals,National,2020,55631,DE,EDDP
Arrivals,National,2021,39604,DE,EDDP
Arrivals,National,2022,107308,DE,EDDP
Arrivals,International,2017,133600,DE,EDDR
Arrivals,International,2018,115709,DE,EDDR
Arrivals,International,2019,129606,DE,EDDR
Arrivals,International,2020,10971,DE,EDDR
Arrivals,International,2021,64280,DE,EDDR
Arrivals,International,2022,135735,DE,EDDR
Arrivals,National,2017,79032,DE,EDDR
Arrivals,National,2018,75693,DE,EDDR
Arrivals,National,2019,63813,DE,EDDR
Arrivals,National,2020,17588,DE,EDDR
Arrivals,National,2021,8921,DE,EDDR
Arrivals,National,2022,13233,DE,EDDR
Arrivals,International,2017,3987191,DE,EDDS
Arrivals,International,2018,4311422,DE,EDDS
Arrivals,International,2019,4802228,DE,EDDS
Arrivals,International,2020,1227623,DE,EDDS
Arrivals,International,2021,1532740,DE,EDDS
Arrivals,International,2022,3020095,DE,EDDS
Arrivals,National,2017,1489432,DE,EDDS
Arrivals,National,2018,1588915,DE,EDDS
Arrivals,National,2019,1549187,DE,EDDS
Arrivals,National,2020,399168,DE,EDDS
Arrivals,National,2021,243156,DE,EDDS
Arrivals,National,2022,454647,DE,EDDS
Arrivals,International,2017,6397533,DE,EDDT
Arrivals,International,2018,6977445,DE,EDDT
Arrivals,International,2019,8098443,DE,EDDT
Arrivals,International,2020,1986931,DE,EDDT
Arrivals,National,2017,3877389,DE,EDDT
Arrivals,National,2018,4084223,DE,EDDT
Arrivals,National,2019,4078977,DE,EDDT
Arrivals,National,2020,971601,DE,EDDT
Arrivals,International,2017,2399226,DE,EDDV
Arrivals,International,2018,2633669,DE,EDDV
Arrivals,International,2019,2632203,DE,EDDV
Arrivals,International,2020,615617,DE,EDDV
Arrivals,International,2021,917885,DE,EDDV
Arrivals,International,2022,1735260,DE,EDDV
Arrivals,National,2017,560945,DE,EDDV
Arrivals,National,2018,550976,DE,EDDV
Arrivals,National,2019,541703,DE,EDDV
Arrivals,National,2020,127927,DE,EDDV
Arrivals,National,2021,107840,DE,EDDV
Arrivals,National,2022,254023,DE,EDDV
Arrivals,International,2017,827882,DE,EDDW
Arrivals,International,2018,833189,DE,EDDW
Arrivals,International,2019,712972,DE,EDDW
Arrivals,International,2020,173906,DE,EDDW
Arrivals,International,2021,191229,DE,EDDW
Arrivals,International,2022,489566,DE,EDDW
Arrivals,National,2017,446328,DE,EDDW
Arrivals,National,2018,449270,DE,EDDW
Arrivals,National,2019,446382,DE,EDDW
Arrivals,National,2020,126237,DE,EDDW
Arrivals,National,2021,123053,DE,EDDW
Arrivals,National,2022,251880,DE,EDDW
Arrivals,International,2017,1296051,DE,EDFH
Arrivals,International,2018,1100079,DE,EDFH
Arrivals,International,2019,803050,DE,EDFH
Arrivals,International,2020,250756,DE,EDFH
Arrivals,International,2021,363936,DE,EDFH
Arrivals,International,2022,679265,DE,EDFH
Arrivals,National,2017,2430,DE,EDFH
Arrivals,National,2018,2832,DE,EDFH
Arrivals,National,2019,4616,DE,EDFH
Arrivals,National,2020,1405,DE,EDFH
Arrivals,National,2021,2136,DE,EDFH
Arrivals,National,2022,191,DE,EDFH
Arrivals,International,2017,593880,DE,EDJA
Arrivals,International,2018,748250,DE,EDJA
Arrivals,International,2019,865964,DE,EDJA
Arrivals,International,2020,348735,DE,EDJA
Arrivals,International,2021,485601,DE,EDJA
Arrivals,International,2022,1000227,DE,EDJA
Arrivals,National,2017,531,DE,EDJA
Arrivals,National,2018,830,DE,EDJA
Arrivals,National,2019,1148,DE,EDJA
Arrivals,National,2020,700,DE,EDJA
Arrivals,National,2021,819,DE,EDJA
Arrivals,National,2022,961,DE,EDJA
Arrivals,International,2017,284391,DE,EDLP
Arrivals,International,2018,282581,DE,EDLP
Arrivals,International,2019,262319,DE,EDLP
Arrivals,International,2020,33148,DE,EDLP
Arrivals,International,2021,57675,DE,EDLP
Arrivals,International,2022,229241,DE,EDLP
Arrivals,National,2017,83312,DE,EDLP
Arrivals,National,2018,85434,DE,EDLP
Arrivals,National,2019,84685,DE,EDLP
Arrivals,National,2020,13383,DE,EDLP
Arrivals,National,2021,6762,DE,EDLP
Arrivals,National,2022,21404,DE,EDLP
Arrivals,International,2017,922378,DE,EDLV
Arrivals,International,2018,829708,DE,EDLV
Arrivals,International,2019,616604,DE,EDLV
Arrivals,International,2020,142027,DE,EDLV
Arrivals,International,2021,291885,DE,EDLV
Arrivals,International,2022,516006,DE,EDLV
Arrivals,National,2017,25391,DE,EDLV
Arrivals,National,2018,7208,DE,EDLV
Arrivals,National,2019,624,DE,EDLV
Arrivals,National,2020,99,DE,EDLV
Arrivals,National,2021,291,DE,EDLV
Arrivals,National,2022,221,DE,EDLV
Arrivals,International,2017,912631,DE,EDLW
Arrivals,International,2018,1040372,DE,EDLW
Arrivals,International,2019,1271507,DE,EDLW
Arrivals,International,2020,585267,DE,EDLW
Arrivals,International,2021,821402,DE,EDLW
Arrivals,International,2022,1263151,DE,EDLW
Arrivals,National,2017,93520,DE,EDLW
Arrivals,National,2018,105063,DE,EDLW
Arrivals,National,2019,95803,DE,EDLW
Arrivals,National,2020,27545,DE,EDLW
Arrivals,National,2021,17061,DE,EDLW
Arrivals,National,2022,24076,DE,EDLW
Arrivals,International,2017,152217,DE,EDNY
Arrivals,International,2018,159316,DE,EDNY
Arrivals,International,2019,136874,DE,EDNY
Arrivals,International,2020,31819,DE,EDNY
Arrivals,International,2021,43682,DE,EDNY
Arrivals,International,2022,114523,DE,EDNY
Arrivals,National,2017,75700,DE,EDNY
Arrivals,National,2018,81499,DE,EDNY
Arrivals,National,2019,89805,DE,EDNY
Arrivals,National,2020,14484,DE,EDNY
Arrivals,National,2021,5680,DE,EDNY
Arrivals,National,2022,31856,DE,EDNY
Arrivals,International,2017,541701,DE,EDSB
Arrivals,International,2018,597000,DE,EDSB
Arrivals,International,2019,633547,DE,EDSB
Arrivals,International,2020,198823,DE,EDSB
Arrivals,International,2021,303433,DE,EDSB
Arrivals,International,2022,649001,DE,EDSB
Arrivals,National,2017,80859,DE,EDSB
Arrivals,National,2018,24525,DE,EDSB
Arrivals,National,2019,34686,DE,EDSB
Arrivals,National,2020,1810,DE,EDSB
Arrivals,National,2021,656,DE,EDSB
Arrivals,National,2022,850,DE,EDSB
Arrivals,International,2017,106508,DE,ETNL
Arrivals,International,2018,104125,DE,ETNL
Arrivals,International,2019,43814,DE,ETNL
Arrivals,International,2020,5838,DE,ETNL
Arrivals,International,2021,8144,DE,ETNL
Arrivals,International,2022,27322,DE,ETNL
Arrivals,National,2017,27720,DE,ETNL
Arrivals,National,2018,29661,DE,ETNL
Arrivals,National,2019,19272,DE,ETNL
Arrivals,National,2020,5492,DE,ETNL
Arrivals,National,2021,1489,DE,ETNL
Arrivals,National,2022,1182,DE,ETNL
Arrivals,International,2017,88897,DK,EKAH
Arrivals,International,2018,149477,DK,EKAH
Arrivals,International,2019,158690,DK,EKAH
Arrivals,International,2020,32101,DK,EKAH
